offense_charge_desc,offense_freq_count
POSTED SIGN-LANE MUST TURN LEFT OR RIGHT,270
 ,270
NO SEAT BELT-UNRESTRAINED CHILD UNDER 4,268
NO BRAKE LIGHTS ON TRAILER,267
GT - NO REFLECTIVE VEST ON VALET OPERATOR,265
POSTED SIGN-TRAFFIC CONTROL DEVICE,263
REGISTRATION VIOL-NO COMMERCIAL RECEIPT,262
DRIVING MOTOR VEHICLE ON SIDEWALK,262
DISREGARDED ORDER OF SCHOOL CROSSING GUARD,259
IMPROPER TURN UNSAFE,253
PASSING VULNERABLE ROAD USER,253
FIRE - FAILED TO ABATE FIRE HAZARD,252
GT - ALLOWING UNPERMITTED CHAUFFEUR,248
CMV - INOPERABLE LAMPS 393 9,247
CMV: NO OPERATING AUTHORITY,247
OPEN GLASS CONTAINER - CURFEW AREA 1-6,246
DEFECTIVE LIGHTS-HEADLIGHTS,246
CONSUME\POSSESS ALC W/IN 1000 FT OF SCH,245
STEREO AMPLIFICATION - WATERCRAFT,245
TV IN VIEW OF DRIVER,245
FIRE - NO PUBLIC ASSEMBLY PERMIT,245
CMV - DEFECTIVE WHEEL/RIMS,244
GT - FAILED TO DISPLAY DRIVER CREDENTIALS,240
SWIMMING IN TOWN LAKE,240
FAILURE TO YIELD - T-INTERSECTION,238
ANIMAL - IMPOUNDMENT INTERFERENCE,236
SIMPLE ASSAULT BY THREAT - NON FAMILY,236
CURFEW-NIGHT-OTHER AREAS,236
SWIMMING IN LADY BIRD LAKE,235
TOW AWAY ZONE MOTORCYCLE PARKING,233
DISORDERLY CONDUCT - ABUSIVE LANGUAGE,232
GT - NUMBER OF PASSENGERS,232
SIMPLE ASSAULT BY THREAT-FAMILY,232
POSTED SIGN-STRAIGHT OR RIGHT ONLY,231
BICYCLE - NO REAR REFLECTOR,230
CMV - BRAKES FAIL TO MAINTAIN,230
TIME ZONE (UNMETERED) 2 HR PARKIN,230
UNREGISTERED MOTOR VEHICLE OUT OF STATE,229
NMV - DISREGARDED BARRICADE,225
SPEEDING - POSTED-CITY STREET - LESS THAN 10% OVER,225
PERMITTING UNAUTHORIZED PERSON TO DRIVE,223
MISUSE OF BUYER'S TAG,221
BICYCLE RIDING ON SIDEWALK/PROHIBITED,221
OTHER TRAFFIC VIOLATION - COMMENT,220
GT - VEHICLE NOT PRESENTED FOR INSPECTION,220
"""Alcohol-Consume in Prohibited Area (Park",220
ZONING - PROHIBITED USE,218
DSC MANDATORY,216
NMV - ON WRONG (LEFT) SIDE OF ROADWAY,215
CONSUMING ALCOHOL DESIGNATED AREA 1-4,215
FAILURE TO YIELD-YIELD SIGN,214
GAME ROOM - ACCESS,213
CRIMINAL MISCHIEF - DESTRUCTION OF PROPERTY,211
NMV - IMPROPER RIGHT TURN APPROACH,210
MISREPRESENTATION OF AGE BY MINOR,210
FIRE - FIREWORKS POSSESSION OR USE,210
CMV - WEIGHT- Over Gross 0 - 5000 lbs.,209
"""GT - VALET DOUBLE PARKED",208
MINOR IN POSSESSION OF TOBACCO,208
DRIVER'S LIC REST - CODE K- MOPED,208
NOISE - AFTER 10:30PM,207
CMV - TIRE WEIGHT EXCEEDED,205
POSTED SIGN - DO NOT ENTER,203
FAILURE TO CONTROL SPEED-POSTED,201
BOAT - NO WAKE,201
VEHICLE REGISTRATION VIOLATION,196
SIMPLE ASSAULT BY THREAT - FAMILY,195
FIRE - DISCARDING BURNING OBJECT,195
UNNECESSARY USE OF HORN,195
FAILURE TO IDENTIFY REFUSE,195
TOW AWAY PASSENGER ZONE (OVER 5 MIN,194
PARKING - TOW AWAY COMM SERVICE ZONE (NO MARKINGS),192
DEFECTIVE BRAKES,192
TRANSPORT OF LOOSE MATERIALS - BLOW/SPILL,191
CMV - NO BRAKE TRAILER DEVICE,191
OTHER CRIMINAL VIOLATION - COMMENT,190
TOW AWAY TIME ZONE (UNMETERED) 5 MIN PARKING,190
GT - LOADING AND UNLOADING PASSENGERS,189
IMPROPER DRIVERS LICENSE-WRONG CLASS,189
WRECKER - FAILED TO CARRY REQUIRED EQUIPMENT,187
FAILURE TO YIELD LEFT/RIGHT INTO PRI DR,186
CHILD IN OPEN TRUCK BED,186
PASSING IN LEFT TURN OR CENTER LANE,185
GAME ROOM - WINDOWS,185
FAILURE TO SIGNAL INTENT TO TURN,180
SMOKING - SELLING TO MINORS - EMPLOYEE,180
CDL - LOG NOT CURRENT/FORM/7DAYS,180
"""CMV - WEIGHT- Over Gross 5001-10",178
BUILDING CODE - NO ELECTRICAL PERMIT,177
WINDSHIELD TINTING BEYOND FIVE INCHES,176
PEDESTRIAN FAILED TO YIELD ROW,175
MANIFESTATION - PROSTITUTION 10-1-21,175
SOLICITATION FROM STREET/SIDEWALK,172
CMV-OUT OF SERVICE CONDITION-396 3 A 1,172
FAILURE TO YIELD - INTO PRIVATE DRIVE,171
CMV - WIDTH VIOLATION,170
FAILED TO YIELD - U-TURN,170
POSTED SIGN-DISREGARD POSTED SIGN,166
GT - NO TRIP TICKET IN LIMOUSINE,165
ACCELERATING THROUGH INTERSECTION,164
"""CMV - WEIGHT- Over Gross-Over 10",164
FAILURE TO YIELD-STOP SIGN,162
CMV - DAMAGED AXLE PARTS,162
SPEEDING POSTED,162
FAIL TO MAINTAIN FIN RESP - 2ND CONV,162
NON-MOTORIZED VEHICLE - WRONG WAY ON ONE-WAY,161
ALCOHOL - CONSUME WHERE PROHIBITED-TRANSIT AUTHORITY,160
WRONG SIDE OF ROAD - 4 LANES,160
WATER - WATER WASTE- MISTING,160
GT - VALET RETURNED VEHICLE OUTSIDE AREA,160
NMV -  UNSAFE TURN OR MOVEMENT,160
STOPPING ON MAIN HIGHWAY,159
FAILURE TO YIELD - PEDESTRIAN WITH WALK SIGNAL,158
DEFECTIVE TURN SIGNAL,158
PASSING IN CENTER LANE,158
CMV - FAULTY SUSPENSION,158
FAILED TO YIELD WHEN MOVING RIGHT,158
"""CONSUME",157
Drove onto/off restricted access highway,157
DISORDERLY CONDUCT-WINDOW PEEPING,156
DOG ORD - AT LARGE,156
POSTED SIGN - NO THRU TRUCKS,155
Nmv - NO REAR REFLECTOR,155
SOLICITATION FROM STREET/SIDEWALK-rs 04/02/12 via email,155
WATER REST - ALLOWED RUNOFF,155
EXPIRED DRIVER LICENSE - OPERATOR,155
ANIMAL - FAIL TO REGISTER DANGEROUS DOG,154
DEFECTIVE/NO TAILLIGHTS,153
"""Gambling-cards",152
PARKING W/IN AN INTERSECTN,151
FICTITIOUS VALIDATION SEAL; MC ALSO,151
NO SAFETY BELT-CHILD 5-16 YEARS OLD,150
SPEEDING-STATE WORK ZONE - NO WORKERS,149
POSSESSION DRUG PARAPHERNALIA,149
GAME ROOM -SIGNAGE,149
LEAVING MOTOR VEHICLE UNATTENDED,149
ZONING - SETBACK IN RESIDENTIAL AREA,148
WRONG SIDE OF ROAD - HIGHWAY,146
DRIVING WHILE LICENSE INVALID - PROHIBITION ORDER,145
NMV - NO LIGHTS,145
IMPROPER RIGHT TURN-WIDE RIGHT,144
UNREGISTERED MOTOR VEHICLE OUT-OF-STATE,144
LITTERING,142
PAY STATION RECEIPT NOT DISPLAYED (,142
TURN NOT IN SAFETY,141
FAILED TO YIELD - PEDESTRIAN WITH WALK SIGNAL,140
CONSUME ALCOHOL WHERE PROH-TRANSIT AUTHO,140
NMV - FAIL TO YIELD ROW TO PEDESTRIAN,140
HEALTH - FOOD UNDER IMPROPER CONDITION,139
DISCHARGE FIREARMS IN CITY,139
DISREGARD POSTED SIGN,139
CDL VIOL-NO DOT CAB CARD (REGISTRATION),138
SOLICITATION - AGRESSIVE,137
EXPIRED TRAILER INSPECTION STICKER,136
IMPROPER RIGHT TURN - WIDE RIGHT,135
TIME ZONE (UNMETERED) 1 HR PARKING,135
SPEEDING - PEDESTRIAN ZONE,135
DRIVER LICENSE - WRONG CLASS,135
TOW AWAY TIME ZONE (UNMETERED) 1,135
CMV - DEFECTIVE TURN SIGNAL,134
FAIL STOP AT DESIGNATED POINT-STOP SIGN,134
CMV - SPARE AXLE PART DAMAGED  207,134
FAILURE TO SIGNAL INTENT-LANE CHANGE,133
FAILURE TO DISPLAY VALID REGISTRATION,133
ZONING - RV STORAGE,133
DISRUPTION OF TRANSPORTATION,132
FAILURE TO SIGNAL TURN-INTENT TO TURN,132
OPENING CAR DOOR INTO TRAFFIC,131
SPEEDING-URBAN AREA,130
CMV - UNREPAIRED OUT OF SERVICE VEHICLE,130
WATERSHED - EROSION CONTROLS,130
CMV - WEIGHT LIMIT:  TANDEM AXLE (0 - 5000 lbs),129
PANHANDLING,129
CRIMINAL MISCHIEF-DESTRUCTION OF PROP,129
WRECKER - ILLEGAL TOW - OBSTRUCTION/NO NOTICE,128
PARKING - TOW AWAY COMM SERVICE ZONE ( NO MARKINGS),127
GT - DISPLAY DRIVER CREDENTIALS,127
PUBLIC INTOXICATION - ALCOHOL,127
BICYCLE - UNSAFE MOVEMENT LEFT/RIGHT,126
CDL VIOL-NOT LICENSED,126
CMV - FAILURE TO RECORD DUTY STATUS,125
MEX CONSULATE PASS&LOAD ZN,124
OBSTRUCT TRAF NEXT TO CONSTR,123
CDL VIOL-DRIVER'S MEDICAL CERTIF,123
WRONG LICENSE PLATE ON DIFF VEHICLE,122
SOLID WASTE -UNSANITARY CONDITION,121
SMOKING - OWNER ALLOWED,121
POSTED SIGN-DO NOT ENTER,120
TIME ZONE (UNMETERED) 30 MIN PARKING,120
GT - VALET PARKING OVER 1/3 SPACE,120
IMPROPER RIGHT/LEFT TURN - POSTED 7-9/4-6,120
WATERSHED - PRECONSTRUCTION CONFERENCE,120
TRESPASS ON SCHOOL GROUNDS,120
WATER - WATER WASTE - BROKEN HEAD,120
GT - NO VALET PERMIT ON SITE,120
SMOKING - ASHTRAYS,119
CURFEW - DOWNTOWN,119
GT - REFUSAL TO CONVEY PASSENGERS,118
RAN RED LIGHT - AT MIDBLOCK,117
CRIMINAL CASE VOIDED - COMMENT,117
ALTERED LICENSE PLATE,117
EXPIRED PAY SPACE (PAY STATION),116
FAIL TO DISPLAY DL,116
WATERSHED VIOL-DEVELOPMENT NO SITE PLAN,116
POSTED SIGN - NO LEFT TURN INTO PRIVATE DRIVE,116
DISREGARD ORDER OF POLICE OFFICER,115
Drove truck in restricted lane,115
ZONING - NO CERTIFICATE OF COMPLIANCE,115
PEDICAB PASSENGER NOT SITTING,115
NO STOPPING / STANDING / PARKING - POSTED SIGN,115
WATER - WATER WASTE - ADJUSTMENT,115
DOG ORD - DOG DANGEROUS FAIL TO REGISTER,115
CMV - CRACKED FRAME 393.201(A),113
FAIL TO CHANGE ADDRESS NAME ON DL,112
CURFEW-NIGHTTIME (11:30 PM - 6:00 AM),112
ZONING - PROHIBITED SIGNS-OFF PREMISE,111
CMV - DEFECTIVE AXLE POSITIONING PART,111
OPEN GLASS CONTAINER - CURFEW AREA,111
Dog Ord - Dog/Cat Unregistered,109
DRIVER'S LICENSE REST-CODE B-LOFS,109
GT - VALET FAILED TO SECURED KEYS,108
ZONING - FAILED TO COMPLY WITH BSC ORDER,107
CDL - NO SEAT BELT - FEDERAL REGULATION,107
DISORDERLY CONDUCT - NOISE,106
FIRE - FIREWORKS VIOLATION,106
SOLID WASTE -ILLEGAL DUMPING,106
ANIMAL - FAILED TO STERILIZE,105
SMOKING PROHIBITED IN PUBLIC PLACE,105
PARKING - TOW AWAY ZONE TAXICAB STAND,105
CMV-FAIL TO KEEP CURRENT STATUS 395.8 F1,105
GT - OPERATED IN NON-DESIGNATED AREA,105
USED VEHICLE - FAILED TO KEEP RECORD,105
ANIMAL - INTERFERENCE WITH POLICE ANIMAL,105
HEALTH - UNSAFE FOOD,105
ZONING - PROHIBITED SIGNS ALL DISTRICTS,105
DRIVER LICENSE RESTRICTION K- MOPED,105
NMV - OPERATE BICYCLE - NO LIGHTS,105
DOG ORDINANCE - AT LARGE (HEALTH DEPT),104
SOLICITATION -  AGGRESSIVE,102
DEALER - MISUSE OF DEALER PLATE OR TAG,101
EXHIBITION OF ACCELERATION,100
NMV - FAILURE TO YIELD INTERSECTION,100
WRECKER - NO TOW TRUCK OPERATORS LICENSE,100
IPMC - EXTERIOR STRUCTURE NOT MAINTAINED,100
DISORDERLY CONDUCT-GESTURE P.C. 42 01,98
DEFECTIVE EQUIPMENT - PARKING LIGHT,98
SPEEDING - 35 MPH,98
PARKING - TOW AWAY ZONE RESIDENTIAL PARKING,97
CMV - WEIGHT-OVER REGISTERED WEIGHT,97
BICYCLE - RIDING ON SIDEWALK,97
FAILURE TO YIELD RT TURN ON RED LIGHT,96
PARKING - PERMIT (ORANGE HOOD ON METER),96
"""CMV - WEIGHT: Tandem Axle (5001-10",95
POSTED SIGN-2-4PM 4-6PM,95
DRIVER'S LIC REST - CODE A & B,95
MISUSE DEALER PLATE/AGAINST DEALER,94
WATERSHED - FAILED TO OBTAIN RIGHT OF WAY PERMIT,93
CDL - NO HAZARDOUS MATERIAL ENDORSEMENT,93
HEALTH - FOOD HANDLER REGISTRATION,92
EXPIRED OCCUPATIONAL LICENSE,92
NO SAFETY SEAT - CHILD UNDER 5- per Spreadsheet prosecutors 2nd list,92
"""GAMING - CARDS",91
SPEEDING-20 MPH SCHOOL ZONE,91
FOLLOWING TOO CLOSELY-NON-COLLISION,91
GT - PRESENT VEHICLE FOR INSPECTION,91
EXPIRED DRIVER LICENSE - COMMERCIAL,90
BUS ONLY - POSTED SIGN,90
FIRE - TAMPERED WITH FIRE APPLIANCE,90
PARKING-OTHER-LAW ENFORCEMENT ZONE,90
FAILED TO YIELD - FLASHING RED LIGHT,90
FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY-ACCIDENT,89
BICYCLE - FAILURE TO RIDE TO RIGHT SIDE,89
FAILURE TO PASS TO LEFT SAFELY,89
TOW AWAY MEX CONSULATE PASS & LOAD,87
PASSING IN LEFT TURN LANE-CENTER LANE,87
NO SEATBELT-UNRESTRAINED CHILD UNDER 4-rs031307,87
ZONING - SELLING GOODS IN PUBLIC PLACE,87
FAILURE TO DIM HEADLIGHTS,87
DRIVING ON UNIMPROVED SHOULDER,87
SPEEDING- WITHIN CITY LIMITS,86
CAM - DAMAGED AXLE PARTS,85
SPEEDING-CONSTRUCTION ZONE (NO WORKERS),85
REMOVAL OF HERITAGE TREE,85
PARKING-OTHER-EMERGENCY ROOM SERVICE ZONE,85
POSTED SIGN - NO RIGHT/LEFT 7-9 4-6,85
NMV - RIDE BICYCLE ON SIDEWALK/PROHIBITED,85
BUILDING CODE - NO DEMOLITION PERMIT,85
FAILED TO YIELD - T-INTERSECTION,85
WEIGHT LIMIT-VIOL (AXLE GROUP FORMULA),85
CURFEW - NIGHTTIME,84
FAILURE TO YIELD - U-TURN,84
Gang Related Activity/Education Code,84
NO MUD FLAPS,83
FIRE - OBSTRUCTED EXIT,83
GUARDIAN - ALLOWED UNLICENSED DRIVER,82
POSTED SIGN - DO NOT BLOCK INTERSECTION,82
POSTED SIGN-STRAIGHT ONLY,82
MISUSE OF CENTER LANE,81
CMV - LEAKING FUEL SYSTEM,81
DISREGARDED RAILROAD CROSSING DEVICE,81
TOW AWAY ZONE PARALLEL PARKING ONLY,81
DOG ORD - DOG UNRESTRAINED,81
POSTED SIGN - NO RIGHT ON RED (WM CANNON/MANCH),81
EROSION CONTROLS,80
NO HEADLIGHTS/TAILLIGHTS/MC,80
NMV - WRONG SIDE OF ROAD 4 LANES,80
DISORDERLY CONDUCT - WINDOW PEEPING,80
FIRE ORD - FIREWORKS VIOLATION,80
EXTENDING TIME BEYOND LIMIT (PAY BY,80
DISREGARDED ORDER OF POLICE - TRAFFIC,79
CMV - UNSAFE LOADING 392 9,79
OPERATE VEHICLE NOT IN COMPLIANCE,79
CMV - DEFECTIVE LIQUID FUEL TANK,79
CMV-NO BRAKE TRAILER DEVICE,78
ZONING - SIGN IN RIGHT OF WAY,78
POSTED SIGN-LANE MUST TURN LEFT/RIGHT,78
POSTED SIGN-NO LEFT TURN INTO PRI DR,77
SMOKING - FAILED TO POST SIGN,77
PARKING - CUSTOMER SERVICE ZONE,77
BUILDING VIOL - NO PLUMBING PERMIT,77
CMV - NO EDGE PROTECTION,76
No Safety Seat-Unrestrained Child Under 5,76
CRIMINAL MISCHIEF - TAMPERING W/PROPERTY,75
GT - NMV STOP AT UNAPPROVED LOCATION,75
IPMC - MEANS OF EGRESS - SAFE PATH,75
PASSING ON LEFT VEHICLE APPROACHING,75
SIMPLE ASSAULT ON POLICE OFFICER,75
FAILURE TO YIELD ONE-HALF ROADWAY,75
FAILURE TO PROVIDE REST BREAK,75
MANIFESTATION - DRUGS 10-2-22,74
OBSCURED LICENSE PLATES,73
FAILURE TO YIELD FLASHING RED LIGHT,72
THROWING WATER OR ARTICLES,72
WRECKER - EXCEEDED 20 MINUTES,72
LICENSE PLATE - OBSCURED/ILLEGIBLE,72
WSA - NO CERTIFICATE OF NUMBER,71
GT - DIRECT ROUTE,71
WSA - NO THROWABLE DEVICE (TYPE IV),70
UNDATED/ALTERED BUYERS PLATES,70
FIRE - PROTECTION SYSTEMS MAINTENANCE,70
GT - MULTIPLE CHAUFFEURS' PERMITS,70
CMV-TIRE VIOL-DEFECTIVE TIRE,70
GT - ELECTRIC VEHICLE - NO SEATBELT,70
GT - UNPROFESSIONAL CONDUCT-DRIVER,70
GT - CHARTER - NO TRIP TICKET,70
DISREGARDED RAILROAD CROSSING DEVICE OR SIGNAL,70
WATER REST - STAGE 2 -ORNAMENTAL FOUNTAIN,70
TOW AWAY PASSENGER ZONE (OVER 5 MIN),70
POSTED SIGN-DISREGARD P.S. INTERSECTION,69
NO REARVIEW MIRROR,69
PARKING - OVER STALL LINE (UNMETERED),69
DEFECTIVE TIRES,68
VEHICLE SALE PROHIBITED,68
BICYCLE - POSTED SIGN,68
BUILDING CODE- NO HOT WATER,67
SOLICITATION AGRESSIVE,67
ILLEGAL BACKING INTO INTERSECTION,67
LOITERING ON SCHOOL GROUNDS,66
NOISE - AMPLIFYING WITHOUT PERMIT,66
WWW - NO PERMIT FOR OSSF,66
ZONING - PROHIBITED BALLOON SIGN,66
CMV - LEAKING OIL/GREASE,66
ANIMAL - ENCLOSURE TOO SMALL,66
POSTED SIGN - NO STOPPING/STANDING/PARKING,66
DOG ORDINANCE - AT LARGE (CITIZEN),65
NMV - BICYCLE FAILED TO RIDE TO RIGHT SIDE,65
OPERATE VEHICLE WITH CHILD IN OPEN BED,65
NMV - RAN FLASHING RED LIGHT,65
POSTED SIGN - OFFICIAL TRAFFIC CONTROL DEVICE,64
R.O.W. - STREET VENDOR FAILED TO DISPLAY PERMIT,64
SPEEDING-POSTED-CITY STREET - Less than 10% over limit,64
CMV-UNSAFE LOADING-NO TIE DOWN  393 100,64
CMV - TIRE WITH INSUFFICIENT TREAD,63
ILLEGAL USE OF HANDICAP CARD,63
BICYCLE - LANE MUST TURN LEFT/RIGHT,63
CDL - DRIVER DISQUALIFIED,63
ZONING-OCCUPY W/O CERTIFICATE OF COMPLIANCE-NO SITE PLAN,62
SPEEDING - 45 MPH,62
DRIVER MISUSE DEALER PLATE,62
HEALTH - EQUIPMENT HOLD ORDER VIOLATION,61
NO FRONT/REAR PLATE,61
CMV - WEIGHT LIMIT-OVER 34000 LBS ON TANDEM,61
CDL VIOL-NO VALID CDL ISSUED BY ST,60
WWW: (15-1) BPA Fail to test,60
TOW AWAY TIME ZONE (UNMETERED) 5,60
CDL - NO DOT CAB CARD (REGISTRATION),60
NMV - FAILED TO RIDE BICYCLE IN LANE,60
SPEEDING-WORK ZONE/WORKERS PRESENT,60
POSTED SIGN - LANE ENDS/MERGE,59
PARKING - PASSENGER ZONE,59
REGISTRATION - NO COMMERCIAL RECEIPT,58
DISCHARGING PELLET GUN IN CITY,58
U-TURN INTERSECTION NOT SAFETY,58
CMV - EXCESS OF PERMITTED HOURS,57
RESERVED PARKING(CITY LOT),57
HEALTH - Food under improper condition,57
HEALTH - SWIMMING POOL PERMIT,56
CMV - TORSION BAR DAMAGED,56
HAZMAT - NO HAZMAT CERTIFICATE 107.620,56
WATERSHED - FILL IN EXCESS OF 4 FEET,56
ZONING - Sign in Right of Way,56
WATERSHED - WATER QUALITY CONTROLS,55
FIRE - LOCKED EXIT,55
EXTENDING TIME BEYOND LIMIT (PAY BY SPACE),55
FAILURE TO IDENTIFY-REFUSE,55
FIRE - OBSTRUCTED EXIT DOOR,55
FOLLOWING EMERGENCY VEHICLE,55
EXPIRED INSPECTION STICKER  07/10,55
Parking - Extending Time Beyond Limit (Pay Station),55
CMV - UNSAFE LOADING,55
Dog/Animal at large,55
ZONING - NO CERTIFICATE OF OCCUPANCY,55
ZONING - OCCUPYING W/OUT SITE PLAN,55
"""SOLICIT. BY PERSON FROM STREET",55
WRONG LICENSE PLATE OR REGISTRATION,55
WINDOW TINT-LESS THAN 33 PERCENT LIGHT,54
NO SAFETY BELT-CHILD 5-16 YRS,54
POSSESS FICTITIOUS DOCUMENT UNDER 21,54
ZONING - PROHIBITED MOVABLE SIGNS,54
LICENSE PLATE - DISTORTED VISIBILITY,53
FIRE - LOCKED EXIT DOOR,53
Railroad Viol - Enter Property,53
HEALTH ORD - NO FOOD PERMIT,53
FAILED TO CHANGE DRIVERS LICENSE ADDRESS,53
SPEEDING - 40 MPH,52
ANIMAL - DOG/CAT DEFECATION,52
PED. IN ROADWAY/CITY ORDINANCE-HITCHHIKE,52
PEDESTRIAN ON ROADWAY,52
POSTED SIGN-NO U-TURN,52
"""CURFEW - NIGHT - AREAS 1",51
FAIL TO STOP AT PROPER PLACE-LIGHT,51
CMV - WEIGHT: Overall Gross formula (0 - 5000 lbs),51
CMV - FAULTY STEERING SYSTEM,51
INTERFERENCE WITH RAILROAD PROPERTY,51
FIRE ORD. OVERCROWDING PREMISES,51
CMV-SP AXLE PARTS  207,51
TIME ZONE (UNMETERED) 30 MIN PARK,50
"""POSTED SIGN-NO LEFT",50
NOISE - AFTER 2:00 AM,50
WSA - PFD NOT READILY ACCESSIBLE,50
INSPECTION STICKER - NOT VALID ON MOTORCYCLE,50
FICTITIOUS/ALTERED DRIVERS LICENSE,50
NO THRU TRUCKS - POSTED SIGN,50
TIME ZONE (UNMETERED) 15 MIN PARK,50
SOLICITATION BY PERSON IN A MOTOR VEH.,50
EXPIRED INSPECTION STICKER  08/10,50
TOW AWAY ZONE PERMT PRKNG (UNMETE,50
ZONING - NON CONFORMING USE,50
NMV - FAILURE TO YIELD - LEFT TURN,50
BUILDING CODE - UNLICENSED CONTRACTOR,49
FAILURE TO REGISTER VEHICLE IN NAME,49
NO SAFETY BELT: CHILD UNDER FIVE,49
ANIMAL -TRANSPORTING ANIMAL IN A MOTOR VEHICLE,49
DEFECTIVE NO TAILLIGHTS,48
HEALTH - DISTURBED CONTENTS OF CONTAINERS,48
DRIVER'S LIC. REST-CODE A (NO GLASSES),48
BUILDING VIOL - NO ELECTRICAL PERMIT,48
HEADLIGHT/TAILLIGHT VIOLATION,48
CURFEW - NIGHT - OTHER AREAS,48
DISORDERLY CONDUCT-THREATENING ANOTHER,48
NO SEATBELT-UNRESTRAINED CHILD UNDER 2,47
WRECKER - EXCEEDED 45 MINUTES,47
FAILURE TO YIELD T-INTERSECTION,47
Smoking Ord - Public Place,47
MOTORCYCLE - NO SEAL/REGISTRATION,47
POSTED SIGN-NO STOPPING/STANDING/PARKING,47
CDL - NO VALID CDL ISSUED BY STATE,47
CMV - OFF PERMITTED ROUTE,47
UNREGISTERED MOTOR VEHICLE OUT OF STATE-RS03/16/11,46
POSTED SIGN-STRAIGHT OR LEFT ONLY,46
Speeding - Airport,46
ILLEGAL/COPY PAY STATION RECEIPT,46
GT - NO CHAUFFEUR'S PERMIT,46
CMV - Weight Limit: Tandem Axle (0 - 5000 lbs),46
WATER REST - STAGE I - IMPROPER TIME,46
CMV-Low pressure warning device on brake,45
R.O.W. - IMPROPER TRAFFIC CONTROL DEVICES,45
WATER - WATER WASTE - PONDING,45
ZONING - NO TEMPORARY USE PERMIT,45
WSA - SOUND - PRODUCING DEVICES ON MOTORBOAT,45
ZONING - INCREASED NON-CONFORMITY OF OFF-PREMISE SIGN,45
INSPECTION STICKER - EXPIRED  06/12,45
WSA - LIGHTS ON VESSEL OR MOTORBOATS,45
NO SEAT BELT-PASSENGER,45
FAILED TO YIELD - CROSSOVER,45
DISORDERLY CONDUCT - GESTURE,45
CURFEW - AREA 1 AND 2 (DOWNTOWN),45
GT - FAILED TO USE READY STAND,45
WRECKER - IMPROPERLY IDENTIFIED WRECKER,44
DRIVER'S LIC REST CODE J NO 18 YR MC DRI,44
PEDESTRIAN ON WRONG SIDE OF ROADWAY,44
Parking - Expired Parking Space (Pay Station),43
NO DRIVERS LIC MOTOR ASSISTED BIKE,43
"""SOLICIT FROM SIDEWALK",43
BRAKE VIOL - DEFECTIVE BRAKES,43
GT - PEDICAB - NO PERMIT,43
MOTOR VEHICLE INSPECTION VIOLATION,43
TRAILER - NO SAFETY CHAINS,42
CMV-WIDTH,42
SPEEDING-STATE WORK ZONE - WORKERS,42
CMV-TIRE VIOL-TREAD>2/32 OF INCH,42
POSTED SIGN - NO LEFT TURN - PRIVATE DRIVE/HRS,42
EXPIRED INSPECTION STICKER  04/10,42
ANIMAL - NON-COMPLIANCE FOR DANGEROUS DOG,42
MOTORCYCLE - NO/UNAPPROVED PASSENGER HELMET,42
MOTORCYCLE-PASS NO/UNAPPROVED HELMET,41
WRECKER - UNSUMMONED WRECKER TO COLLISION,41
DRIVER'S LIC REST - INTERLOCK DEVICE REQUIRED,41
CMV-LAMPS INOPERATIVE 393 9,41
RAN RED LIGHT - AT PRIVATE DRIVE,41
SPEEDING-WORK ZONE,40
FAILURE TO REMOVE VEHICLE,40
CMV - NO IDENTIFYING SIGN/PLACARD,40
WATERSHED - NO R.O.W. CONSTRUCTION LICENSE,40
NO INSPECTION STICKER / FAIL TO DISPLAY,40
DRIVER LICENSE REST CODE J NO 18 YR MC DRI,40
DO NOT USE THIS CODE AFTER 02/01/2011,40
NMV - FAILURE TO SIGNAL INTENT,40
WRECKER - FAILURE TO WEAR OPERATOR'S LICENSE,40
VEHICLE SALES UNLICENSED,40
CMV - VEHICLE OUT OF SERVICE,40
WSA - UNREGISTERED/EXPIRED REGISTRATION,40
NMV - IMPROPER LEFT TURN,40
EXPIRED INSPECTION STICKER  10/10,40
EXPIRED INSPECTION STICKER  06/10,40
No drivers license,40
ZONING - SELLING MERCHANDISE WITHOUT LICENSE,40
WATERSHED - EROSION CONTROLS IN ETJ,40
CMV - CONCRETE TRUCK - tandem axle on public hwy overweight,40
EXTENDING TIME BEYOND LIMIT (MOTORCYCLE/MOPED),40
SPEEDING- SCHOOL ZONE,40
SOLID WASTE - DISTURBING TRASH RECEPTACLES,40
DRIVER LICENSE REST. - DRIVER UNDER 18,40
EXPIRED INSPECTION STICKER  09/10,40
FAILURE TO YIELD-LEFT/RIGHT INTO PRI DR,40
USE WIRELESS DEVICE WHILE DRIVING - UNDER 18,40
PARKING IN TRANSIT PRIORITY LANE,40
NMV - IMPROPER LEFT TURN-APPROACH,40
WSA - NO FIRE EXTINGUISHER,40
WATER REST - FAIL TO REPAIR,40
WATER REST - PERMANENT - WRONG HOURS,40
CMV-OPERATING W/OUT PROPER REGISTRATION,39
FIRE ORD - UNAUTHORIZED BURNING,39
NO SEAT BELT-DRIVER,39
FAILURE TO YIELD TO VEH ON RT/INT,39
CDL VIOL FALSE LOG NO LOG,39
LICENSE PLATE - INVALID REGISTRATION,38
CDL VIOL-LOG NOT CURRENT/FORM/7DAYS,38
HEALTH ORD - NO FOOD MANAGER'S CERT POST,38
FIRE - DISCARDING BURNING OBJECTS,37
SELLING WITHOUT PERMIT - DESIG. AREAS,37
